state,county,fips,cases,deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Houston,01069,5907,46,32618,12917,46173,70.64%,27.98%,98.62%,RIGHT,579.8,182.6,105882,50628,55254,26620,12849,13771,60078,31448,28630,19184,8227,10957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Jackson,01071,4188,24,19670,3717,23636,83.22%,15.73%,98.95%,RIGHT,1077.9,47.9,51626,25367,26259,11775,5646,6129,29260,14754,14506,10591,4732,5859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Jefferson,01073,38794,548,138843,181688,325848,42.61%,55.76%,98.37%,LEFT,1111.3,592.6,658573,311232,347341,166418,82097,84321,384826,202590,182236,107329,44675,62654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Lamar,01075,806,8,6174,978,7193,85.83%,13.60%,99.43%,RIGHT,604.9,22.8,13805,6760,7045,3223,1552,1671,7522,3804,3718,3060,1371,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Lauderdale,01077,4917,60,31721,11915,44339,71.54%,26.87%,98.41%,RIGHT,667.7,138.9,92729,44490,48239,20897,10312,10585,52825,27182,25643,19007,8262,10745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Lawrence,01079,1525,36,12322,3562,16031,76.86%,22.22%,99.08%,RIGHT,690.7,47.7,32924,16034,16890,7783,3795,3988,18854,9635,9219,6287,2827,3460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Lee,01081,8499,72,42221,27860,71449,59.09%,38.99%,98.09%,RIGHT,607.5,270.8,164542,80840,83702,42352,20851,21501,101778,51588,50190,20412,9149,11263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Limestone,01083,5068,49,34640,13672,49235,70.36%,27.77%,98.13%,RIGHT,559.9,176.7,98915,49444,49471,24290,12037,12253,59544,29142,30402,15081,6789,8292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Lowndes,01085,850,30,1836,4972,6835,26.86%,72.74%,99.60%,LEFT,715.9,13.6,9726,4570,5156,2355,1172,1183,5450,2879,2571,1921,816,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Macon,01087,823,23,1541,7108,8723,17.67%,81.49%,99.15%,LEFT,608.9,29.7,18068,8218,9850,4102,2086,2016,10181,5547,4634,3785,1568,2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Madison,01089,16115,163,102780,87286,194767,52.77%,44.82%,97.59%,RIGHT,801.6,465.2,372909,182366,190543,91034,44569,46465,224739,113920,110819,57136,25082,32054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
