27,603398,7577,1484065,1717077,3277170,79610.09,138.9958581,5639632,2809811,2829821,1445346,3273904,920382,0.77,0.84,0.07,0.02,0.05,0.03,0.06,0.06,2.49,0.93,0.35,0.07,0.06,0.70,0.09,4194286,917116,128
28,318879,7348,756731,539494,1315240,46915,62.51881511,2976149,1442292,1533857,780487,1708969,486693,0.77,0.59,0.38,0.01,0.01,0.01,0.03,0.06,2.62,0.84,0.22,0.12,0.15,0.57,0.20,2195662,880422,124
29,620295,9789,1717912,1253561,3029586,68846.9,131.8384355,6137428,3012662,3124766,1527291,3548100,1062037,0.78,0.83,0.12,0.01,0.02,0.02,0.04,0.07,2.47,0.90,0.29,0.10,0.12,0.63,0.13,4610137,1580551,149
30,112798,1638,343602,244786,605750,145312,7.904565842,1068778,538066,530712,254416,607925,206437,0.79,0.89,0.01,0.07,0.01,0.03,0.04,0.08,2.39,0.93,0.31,0.09,0.10,0.63,0.13,814362,208612,70
31,223749,2516,556846,374583,952271,76121,45.24403612,1934408,966449,967959,529821,1092129,312458,0.75,0.88,0.05,0.02,0.03,0.02,0.11,0.06,2.46,0.91,0.31,0.08,0.10,0.70,0.10,1404587,452316,73
32,326878,5621,669890,703486,1405376,109818,149.0885418,3080156,1544827,1535329,760272,1823912,495972,0.78,0.74,0.10,0.03,0.09,0.05,0.29,0.07,2.68,0.86,0.24,0.09,0.13,0.63,0.13,2319884,914508,43
33,99040,1360,365654,424921,804430,8969,190.0894604,1359711,673793,685918,291038,814809,253864,0.81,0.93,0.02,0.00,0.03,0.02,0.04,0.07,2.46,0.93,0.37,0.09,0.08,0.68,0.07,1068673,264243,17
34,1018833,26322,1882454,2607331,4565757,7418,2253.465447,8882190,4340587,4541603,2151487,5255168,1475535,0.78,0.72,0.15,0.01,0.10,0.02,0.21,0.04,2.71,0.90,0.39,0.07,0.09,0.66,0.09,6730703,2164946,58
35,203919,4297,401894,501614,923965,121341,36.72377209,2096829,1037432,1059397,531712,1187511,377606,0.77,0.82,0.03,0.11,0.02,0.03,0.49,0.07,2.64,0.85,0.27,0.10,0.12,0.57,0.18,1565117,641152,61
36,2106056,52927,2987266,4076327,7170577,54341.54,2137.440746,19453561,9447846,10005715,4520996,11636419,3296146,0.79,0.70,0.18,0.01,0.09,0.03,0.19,0.04,2.60,0.87,0.36,0.08,0.06,0.63,0.13,14932565,7761988,174
37,1008036,13268,2758775,2684302,5524813,53664,201.2915368,10488084,5100264,5387820,2592437,6144553,1751094,0.78,0.71,0.22,0.02,0.03,0.02,0.10,0.06,2.52,0.87,0.31,0.10,0.13,0.61,0.14,7895647,2370834,175
38,110382,1548,235595,114902,361819,68994,9.38429165,762062,390032,372030,200777,441440,119845,0.76,0.87,0.03,0.06,0.02,0.02,0.04,0.06,2.31,0.93,0.30,0.07,0.08,0.69,0.11,561285,199466,32
39,1106064,20021,3153336,2678501,5929361,40956.51,293.4570256,11689100,5730562,5958538,2886873,6755907,2046320,0.78,0.82,0.13,0.00,0.03,0.02,0.04,0.06,2.43,0.90,0.28,0.10,0.08,0.63,0.13,8802227,2872866,174
40,454216,7325,1020280,503890,1560699,68678,72.75148689,3956971,1960658,1996313,1058495,2263344,635132,0.76,0.74,0.08,0.10,0.02,0.06,0.11,0.07,2.58,0.88,0.25,0.12,0.17,0.61,0.15,2898476,1337777,145
41,204317,2751,966627,1346141,2385605,95804,121.9570004,4217737,2090727,2127010,965480,2486177,766080,0.80,0.87,0.02,0.02,0.05,0.04,0.13,0.07,2.51,0.90,0.33,0.10,0.09,0.62,0.11,3252257,866652,61
42,1212155,27493,3377674,3458229,6921699,45289,459.3644323,12801989,6274361,6527628,2977542,7431085,2393362,0.79,0.82,0.12,0.01,0.04,0.02,0.08,0.06,2.46,0.90,0.31,0.10,0.07,0.63,0.12,9824447,2902748,154
72,181646,2625,406830,389896,1243712,3424.84,1076.455238,3193694,1515721,1677973,659523,1854515,679656,0.82,0.67,0.11,0.00,0.00,0.05,0.99,0.03,2.78,0.76,0.25,0.15,0.10,0.44,0.44,2534171,1290459,17
44,152187,2722,199837,306210,513627,1032,1149.296778,1059361,515675,543686,238543,633772,187046,0.81,0.84,0.09,0.01,0.04,0.03,0.16,0.05,2.47,0.88,0.33,0.10,0.05,0.64,0.11,820818,307191,88
45,594659,9761,1385103,1091541,2513329,31452.55,148.0085505,5148714,2493139,2655575,1247839,2963852,937023,0.78,0.69,0.27,0.01,0.02,0.02,0.06,0.07,2.54,0.87,0.27,0.10,0.13,0.60,0.14,3900875,1387546,44
46,124335,2026,261043,150471,422609,75896,15.16553936,884659,446757,437902,240567,492221,151871,0.76,0.85,0.02,0.09,0.02,0.03,0.04,0.07,2.43,0.92,0.29,0.08,0.12,0.68,0.12,6440920,3504982,153
47,850276,12396,1849820,1139376,3049514,41191,151.1872723,6829174,3332239,3496935,1677566,4008215,1143393,0.78,0.78,0.17,0.01,0.02,0.02,0.06,0.06,2.53,0.87,0.27,0.11,0.12,0.61,0.14,5151608,2102094,551
48,2969114,52019,5891792,5261061,11323985,261962,119.6739278,28995881,14402702,14593179,8210585,17051067,3734229,0.75,0.79,0.13,0.01,0.05,0.02,0.40,0.05,2.86,0.83,0.29,0.08,0.21,0.64,0.14,20785296,9461311,46
49,408812,2319,865140,560282,1488289,82170,134.3886466,3205958,1614917,1591041,1028611,1811475,365872,0.71,0.91,0.02,0.03,0.03,0.03,0.14,0.04,3.13,0.92,0.33,0.07,0.11,0.68,0.09,2177347,689058,9
50,24314,256,112704,242820,367428,9250,72.65639191,623989,308316,315673,134415,364535,125039,0.82,0.94,0.01,0.00,0.02,0.02,0.02,0.06,2.31,0.93,0.37,0.11,0.06,0.66,0.10,489574,122146,166
78,4002,88,1962430,2413568,4460524,39369.1,935.9399824,8535519,4200257,4335262,2087426,5089187,1358906,0.75,0.16,0.76,0.08,0.00,0.02,0.17,0.06,3.12,0.69,0.19,0.19,0.38,0.78,0.44,79890,62329,108
