state,county,fips,POP tot,land area (sq/mi),pop/sqmi
Nebraska,Webster,31181,3487,575,6.1
Nebraska,Wheeler,31183,783,575,1.4
Nebraska,York,31185,13679,576,23.7
Nevada,Churchill,32001,24909,144,173
Nevada,Clark,32003,2266715,4929,459.9
Nevada,Douglas,32005,48905,7911,6.2
Nevada,Elko,32007,52778,710,74.3
Nevada,Esmeralda,32009,873,17182,0.1
Nevada,Eureka,32011,2029,3589,0.6
Nevada,Humboldt,32013,16831,4176,4
Nevada,Lander,32015,5532,9658,0.6
Nevada,Lincoln,32017,5183,5494,0.9
Nevada,Lyon,32019,57510,10635,5.4
Nevada,Mineral,32021,4505,1994,2.3
Nevada,Nye,32023,46523,3757,12.4
Nevada,Pershing,32027,6725,18147,0.4
