state,state code,cases (as of 06/21),deaths,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,Lean,land area (sq/mi),pop/sqmi,POP tot,POP MALE,POP FEM,0-19 tot,0-19 tot f,0-19 tot m,20-64tot,20-64f,20-64m,65+ tot,65+ m,65+ f,"Persons 19 and over, percent","White alone, percent","Black or African American alone, percent",Native american or native hawaiian / pacific islander / alaska native / other,"Asian alone, percent","Two or More Races, percent","Hispanic or Latino, percent","Vetran, percent",Persons per household,"High school graduate or higher, percent of persons age 25 years+ ","Bachelor's degree or higher, percent of persons age 25 years+ ","With a disability, under age 65 years, percent ",Persons  without health insurance,"In civilian labor force, total, percent of population age 16 years+, 2014-2018","Persons in poverty, percent",voting age,total votes,missing voters,land area (sq/mi),pop/sqmi,total facilities
Delaware,10,109258,1679,200603,296268,504010,39.80%,58.78%,98.58%,LEFT,2490,517.6339161,973764,470793,502971,228912,113219,115693,555946,285397,270549,188906,84551,104355,79.10%,69.20%,23.20%,0.80%,4.10%,2.70%,9.60%,6.84%,2.58,89.80%,31.40%,8.50%,8.10%,62.30%,11.30%,744852,504010,240842,2490,391.07,10
Montana,30,112798,1638,343602,244786,605750,56.72%,40.41%,97.13%,RIGHT,145312,7.904565842,1068778,538066,530712,254416,123448,130968,607925,299836,308089,206437,99009,107428,78.60%,88.90%,0.60%,6.80%,0.90%,2.80%,4.10%,8.00%,2.39,93.20%,31.20%,9.20%,10.20%,63.10%,12.60%,814362,605750,208612,145312,7.36,70
North Dakota,38,110382,1548,235595,114902,361819,65.11%,31.76%,96.87%,RIGHT,68994,9.38429165,762062,390032,372030,200777,97773,103004,441440,209734,231706,119845,55322,64523,76.40%,86.90%,3.40%,5.70%,1.70%,2.30%,4.10%,6.11%,2.31,92.50%,29.50%,7.10%,8.10%,69.20%,10.60%,561285,361819,199466,68994,11.05,32
New Hampshire,33,99040,1360,365654,424921,804430,45.46%,52.82%,98.28%,LEFT,8969,190.0894604,1359711,673793,685918,291038,142448,148590,814809,406170,408639,253864,116564,137300,81.20%,93.10%,1.80%,0.30%,3.00%,1.80%,4.00%,7.18%,2.46,92.90%,36.50%,8.80%,7.60%,67.70%,7.30%,1068673,804430,264243,8969,151.6,17
District of Columbia,11,49151,1137,18586,317323,344356,5.40%,92.15%,97.55%,LEFT,61.05,11560.18018,705749,334711,371038,149337,74724,74613,469069,244709,224360,87343,35738,51605,81.80%,46.00%,46.00%,0.70%,4.50%,2.90%,11.30%,3.82%,2.29,90.60%,57.60%,8.60%,3.90%,69.50%,13.50%,556412,344356,212056,61.1,11550.72,3
Maine,23,68449,843,360446,431277,816428,44.15%,52.82%,96.97%,LEFT,35383,70.3609013,1344212,658112,686100,281158,136855,144303,777789,393942,383847,285265,129962,155303,81.50%,94.40%,1.70%,0.70%,1.30%,1.80%,1.80%,7.97%,2.33,92.30%,30.90%,11.80%,10.10%,62.90%,10.90%,1063054,816428,246626,35383,37.99,28
Wyoming,56,61012,725,193559,73491,276765,69.94%,26.55%,96.49%,RIGHT,97105,6.557927967,578759,294730,284029,148172,71623,76549,331408,160987,170421,99179,47760,51419,76.90%,92.50%,1.30%,2.80%,1.10%,2.20%,10.10%,7.84%,2.46,92.90%,26.90%,8.90%,14.80%,66.40%,10.10%,430587,276765,153822,97105,5.96,35
Hawaii,15,35522,502,185282,344905,540972,34.25%,63.76%,98.01%,LEFT,6372.2,486.8693093,1415786,707999,707787,330092,160276,169816,817285,400701,416584,268409,121599,146810,78.80%,25.50%,2.20%,10.50%,37.60%,24.20%,10.70%,7.46%,3.02,91.80%,32.50%,6.50%,5.00%,61.80%,9.30%,1085694,574469,511225,6372.2,222.18,13
Alaska,2,70004,352,157618,118391,287010,54.92%,41.25%,96.17%,RIGHT,570641,6.976199102,731545,388400,343145,114740,54997,59743,506192,236579,269613,110613,59044,51569,75.40%,65.30%,3.70%,17.00%,6.50%,7.50%,7.30%,9.22%,2.81,92.70%,29.20%,8.80%,13.90%,66.40%,10.10%,616805,287010,329795,570641,1.28,35
Vermont,50,24314,256,112704,242820,367428,30.67%,66.09%,96.76%,LEFT,9250,72.65639191,623989,308316,315673,134415,65181,69234,364535,183030,181505,125039,57577,67462,81.70%,94.20%,1.40%,0.40%,1.90%,2.00%,2.00%,6.19%,2.31,92.60%,37.30%,10.50%,5.60%,65.70%,10.20%,489574,367428,122146,9250,67.46,9
Virgin Islands,78,4002,88,1962430,2413568,4460524,44.00%,54.11%,98.11%,LEFT,39369.1,935.9399824,8535519,4200257,4335262,2087426,1021703,1065723,5089187,2557578,2531609,1358906,602925,755981,74.60%,15.60%,76.00%,8.00%,0.00%,2.10%,17.40%,5.50%,3.12,68.90%,19.20%,19.49%,37.51%,77.66%,44.23%,79890,17561,62329,133.6,796.4,3
