state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
South Carolina,Dorchester,45035,162809,42943,96222,23644,119866
South Carolina,Edgefield,45037,27260,5446,16512,5302,21814
South Carolina,Fairfield,45039,22347,4695,12639,5013,17652
South Carolina,Florence,45041,138293,35791,78440,24062,102502
South Carolina,Georgetown,45043,62680,12464,32276,17940,50216
South Carolina,Greenville,45045,523542,132613,306401,84528,390929
South Carolina,Greenwood,45047,70811,18070,39392,13349,52741
South Carolina,Hampton,45049,19222,4493,11120,3609,14729
South Carolina,Horry,45051,354081,70045,195227,88809,284036
South Carolina,Jasper,45053,30073,6539,17482,6052,23534
South Carolina,Kershaw,45055,66551,16787,37327,12437,49764
South Carolina,Lancaster,45057,98012,22861,54138,21013,75151
South Carolina,Laurens,45059,67493,16526,38273,12694,50967
South Carolina,Lee,45061,16828,3735,9783,3310,13093
South Carolina,Lexington,45063,298750,75152,175148,48450,223598
South Carolina,McCormick,45065,9463,1171,4921,3371,8292
South Carolina,Marion,45067,30657,7579,16726,6352,23078
South Carolina,Marlboro,45069,26118,5719,15538,4861,20399
South Carolina,Newberry,45071,38440,9462,21183,7795,28978
South Carolina,Oconee,45073,79546,17291,43512,18743,62255
South Carolina,Orangeburg,45075,86175,21554,47061,17560,64621
South Carolina,Pickens,45077,126884,31097,74547,21240,95787
South Carolina,Richland,45079,415759,106620,254282,54857,309139
South Carolina,Saluda,45081,20473,4757,11560,4156,15716
South Carolina,Spartanburg,45083,319785,82359,184939,52487,237426
South Carolina,Sumter,45085,106721,28006,60727,17988,78715
South Carolina,Union,45087,27316,6314,15370,5632,21002
South Carolina,Williamsburg,45089,30368,6897,16867,6604,23471
South Carolina,York,45091,280979,74485,165092,41402,206494
South Dakota,Aurora,46003,2751,743,1439,569,2008
South Dakota,Beadle,46005,18453,5384,9789,3280,13069
South Dakota,Bennett,46007,3365,1226,1692,447,2139
South Dakota,Bon Homme,46009,6901,1450,4017,1434,5451
South Dakota,Brookings,46011,35077,9985,20715,4377,25092
South Dakota,Brown,46013,38839,10241,21639,6959,28598
South Dakota,Brule,46015,5297,1490,2763,1044,3807
South Dakota,Buffalo,46017,1962,819,995,148,1143
South Dakota,Butte,46019,10429,2801,5485,2143,7628
South Dakota,Campbell,46021,1376,252,721,403,1124
South Dakota,Charles Mix,46023,9292,2997,4568,1727,6295
South Dakota,Clark,46025,3736,1057,1864,815,2679
South Dakota,Clay,46027,14070,3713,8585,1772,10357
South Dakota,Codington,46029,28009,7232,15642,5135,20777
South Dakota,Corson,46031,4086,1608,1988,490,2478
South Dakota,Custer,46033,8972,1448,4684,2840,7524
South Dakota,Davison,46035,19775,5122,10871,3782,14653
South Dakota,Day,46037,5424,1309,2694,1421,4115
South Dakota,Deuel,46039,4351,1093,2299,959,3258
South Dakota,Dewey,46041,5892,2416,2890,586,3476
South Dakota,Douglas,46043,2921,837,1382,702,2084
South Dakota,Edmunds,46045,3829,955,2031,843,2874
South Dakota,Fall River,46047,6713,1252,3454,2007,5461
South Dakota,Faulk,46049,2299,628,1128,543,1671
South Dakota,Grant,46051,7052,1734,3809,1509,5318
South Dakota,Gregory,46053,4185,1077,2030,1078,3108
South Dakota,Haakon,46055,1899,479,939,481,1420
South Dakota,Hamlin,46057,6164,2154,3057,953,4010
South Dakota,Hand,46059,3191,741,1629,821,2450
South Dakota,Hanson,46061,3453,1134,1783,536,2319
South Dakota,Harding,46063,1298,338,724,236,960
