ccps,cdps,vgop,vdem,tvps,laps,ppss,tpop,mpop,fpop,popk,popm,popo,ppos,ppws,ppbs,ppns,ppas,ppms,ppls,ppvs,pphs,ppes,ppbd,ppds,pphi,ppcl,ppps,vaps,mvps,tcfs
4002,88,1962430,2413568,4460524,39369.1,935.9399824,8535519,4200257,4335262,2087426,5089187,1358906,0.746,0.156,0.76,0.08,0,0.021,0.174,0.055,3.12,0.689,0.192,0.1949,0.3751,0.7766,0.4423,79890,62329,108
677425,11270,99,15470,17561,134.5,791.2,106405,50854,55551,29694,59053,14384,0.782,0.694,0.199,0.006,0.069,0.032,0.098,0.0802,2.61,0.893,0.382,0.08,0.093,0.642,0.099,6448093,1987569,83
444852,5846,1584588,2369437,4060294,66457,147.4266197,7614893,3811983,3802910,1840306,4564864,1209723,0.782,0.785,0.044,0.027,0.096,0.049,0.13,0.0706,2.55,0.911,0.353,0.088,0.077,0.635,0.098,5774587,1714293,154
162845,2848,545382,235984,794652,24088,93.99486887,1792147,887770,904377,402473,1022663,367011,0.799,0.935,0.036,0.003,0.008,0.018,0.017,0.0751,2.42,0.865,0.203,0.141,0.083,0.531,0.16,1389674,595022,35
676178,8007,1610151,1630716,3297434,54157.87,166.4851733,5822434,2897209,2925225,1422095,3383096,1017243,0.782,0.87,0.067,0.013,0.03,0.02,0.071,0.0589,2.4,0.919,0.295,0.082,0.068,0.666,0.104,4400339,1102905,34
61012,725,193559,73491,276765,97105,6.557927967,578759,294730,284029,148172,331408,99179,0.769,0.925,0.013,0.028,0.011,0.022,0.101,0.0784,2.46,0.929,0.269,0.089,0.148,0.664,0.101,430587,153822,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,557.2044081,,,,,,,,,,,,,,,,,,,,,,,,
