State,FIPS,total facilities
Maryland,24510,5
Massachusetts,25001,2
Massachusetts,25003,1
Massachusetts,25005,3
Massachusetts,25007,1
Massachusetts,25009,3
Massachusetts,25011,2
Massachusetts,25013,4
Massachusetts,25015,2
Massachusetts,25017,11
Massachusetts,25021,9
Massachusetts,25023,7
Massachusetts,25025,8
Massachusetts,25027,7
Michigan,26001,1
Michigan,26003,3
Michigan,26005,2
Michigan,26007,1
Michigan,26009,1
Michigan,26011,1
Michigan,26013,3
Michigan,26015,1
Michigan,26017,2
Michigan,26019,1
Michigan,26021,2
Michigan,26023,4
Michigan,26025,3
Michigan,26027,1
Michigan,26029,1
Michigan,26031,1
Michigan,26033,5
Michigan,26035,1
Michigan,26037,1
Michigan,26039,1
Michigan,26041,1
Michigan,26043,1
Michigan,26045,1
Michigan,26047,1
Michigan,26049,2
Michigan,26051,1
Michigan,26053,2
Michigan,26055,3
Michigan,26057,5
Michigan,26059,1
Michigan,26061,1
Michigan,26063,1
Michigan,26065,1
Michigan,26067,6
Michigan,26069,2
Michigan,26071,1
Michigan,26073,1
Michigan,26075,8
Michigan,26077,2
Michigan,26079,2
Michigan,26081,2
Michigan,26083,1
Michigan,26085,3
Michigan,26087,1
Michigan,26089,1
Michigan,26091,4
Michigan,26093,2
Michigan,26095,2
Michigan,26097,1
Michigan,26099,2
Michigan,26101,3
Michigan,26103,3
Michigan,26105,1
Michigan,26107,1
Michigan,26109,1
Michigan,26111,1
Michigan,26113,1
Michigan,26115,2
Michigan,26117,3
Michigan,26119,1
Michigan,26121,6
Michigan,26123,2
Michigan,26125,2
Michigan,26127,1
Michigan,26129,1
Michigan,26131,1
Michigan,26133,2
Michigan,26137,1
Michigan,26139,2
Michigan,26141,1
Michigan,26143,1
Michigan,26145,3
Michigan,26147,2
Michigan,26149,2
Michigan,26151,1
Michigan,26153,1
Michigan,26155,2
Michigan,26157,2
Michigan,26159,2
Michigan,26161,7
Michigan,26163,11
Michigan,26165,1
Minnesota,27001,1
Minnesota,27003,3
Minnesota,27005,2
Minnesota,27007,1
Minnesota,27009,2
Minnesota,27013,1
Minnesota,27015,1
Minnesota,27017,4
Minnesota,27019,1
Minnesota,27021,1
Minnesota,27023,1
Minnesota,27025,3
Minnesota,27027,1
Minnesota,27029,1
Minnesota,27031,1
Minnesota,27033,1
Minnesota,27035,1
Minnesota,27037,2
Minnesota,27041,1
Minnesota,27043,2
Minnesota,27045,1
Minnesota,27047,2
Minnesota,27049,2
Minnesota,27053,7
Minnesota,27055,1
Minnesota,27057,2
Minnesota,27059,1
Minnesota,27061,2
Minnesota,27063,1
Minnesota,27065,1
Minnesota,27067,4
Minnesota,27069,1
Minnesota,27071,1
Minnesota,27073,1
Minnesota,27075,1
Minnesota,27077,1
Minnesota,27081,1
Minnesota,27083,1
Minnesota,27085,1
Minnesota,27089,1
Minnesota,27091,1
Minnesota,27093,1
Minnesota,27095,1
Minnesota,27097,1
Minnesota,27099,1
Minnesota,27103,1
Minnesota,27105,1
Minnesota,27109,4
Minnesota,27111,1
Minnesota,27113,2
Minnesota,27115,4
Minnesota,27117,1
Minnesota,27119,2
Minnesota,27123,6
Minnesota,27127,1
Minnesota,27129,1
Minnesota,27131,2
Minnesota,27135,1
Minnesota,27137,6
Minnesota,27139,3
Minnesota,27141,2
Minnesota,27143,1
Minnesota,27145,2
Minnesota,27147,1
Minnesota,27151,1
Minnesota,27153,1
Minnesota,27155,1
Minnesota,27157,1
Minnesota,27159,1
Minnesota,27161,2
Minnesota,27163,5
Minnesota,27165,1
Minnesota,27167,1
Minnesota,27169,1
Minnesota,27171,1
Minnesota,27173,1
Mississippi,28001,5
Mississippi,28003,3
Mississippi,28005,1
Mississippi,28007,1
Mississippi,28009,1
Mississippi,28011,3
Mississippi,28013,1
Mississippi,28015,3
Mississippi,28017,1
Mississippi,28019,1
Mississippi,28023,1
Mississippi,28025,1
Mississippi,28027,1
Mississippi,28031,1
Mississippi,28033,1
Mississippi,28035,3
Mississippi,28037,1
Mississippi,28039,3
Mississippi,28041,2
Mississippi,28043,1
Mississippi,28045,1
Mississippi,28047,1
Mississippi,28049,2
Mississippi,28051,1
Mississippi,28053,1
Mississippi,28055,1
Mississippi,28057,1
Mississippi,28059,2
Mississippi,28061,1
Mississippi,28063,1
Mississippi,28065,1
Mississippi,28067,1
Mississippi,28069,2
Mississippi,28071,1
Mississippi,28073,1
Mississippi,28075,4
Mississippi,28079,2
Mississippi,28081,2
Mississippi,28083,1
Mississippi,28085,1
Mississippi,28087,1
Mississippi,28089,1
Mississippi,28091,3
Mississippi,28093,3
Mississippi,28095,2
Mississippi,28099,1
Mississippi,28101,1
Mississippi,28103,2
Mississippi,28105,2
Mississippi,28107,1
Mississippi,28109,1
Mississippi,28113,2
Mississippi,28117,1
Mississippi,28119,2
Mississippi,28121,3
Mississippi,28123,1
Mississippi,28127,2
Mississippi,28131,2
Mississippi,28133,4
Mississippi,28135,1
Mississippi,28137,1
Mississippi,28141,1
Mississippi,28143,1
Mississippi,28145,1
Mississippi,28147,1
Mississippi,28149,1
Mississippi,28151,4
Mississippi,28153,1
Mississippi,28155,1
Mississippi,28157,3
Mississippi,28159,2
Mississippi,28161,1
Mississippi,28163,7
Missouri,29001,1
Missouri,29003,1
Missouri,29005,1
Missouri,29007,2
Missouri,29009,1
Missouri,29011,1
Missouri,29013,1
Missouri,29015,1
Missouri,29017,1
Missouri,29019,3
Missouri,29021,3
Missouri,29023,2
Missouri,29025,1
Missouri,29027,4
Missouri,29029,2
Missouri,29031,2
Missouri,29037,1
Missouri,29039,1
Missouri,29041,1
Missouri,29043,1
Missouri,29045,1
Missouri,29047,1
Missouri,29051,6
Missouri,29053,1
Missouri,29055,1
Missouri,29057,1
Missouri,29059,1
Missouri,29061,1
Missouri,29063,4
Missouri,29065,1
Missouri,29067,1
Missouri,29069,1
Missouri,29071,2
Missouri,29077,4
Missouri,29079,1
Missouri,29081,1
Missouri,29083,1
Missouri,29085,1
Missouri,29087,1
Missouri,29089,1
Missouri,29091,2
Missouri,29093,1
Missouri,29095,5
Missouri,29097,2
Missouri,29099,1
Missouri,29101,2
Missouri,29105,1
Missouri,29107,1
Missouri,29109,1
Missouri,29111,1
Missouri,29113,1
Missouri,29117,2
Missouri,29119,1
Missouri,29123,1
Missouri,29127,2
Missouri,29131,1
Missouri,29133,2
Missouri,29135,1
Missouri,29137,1
Missouri,29139,1
Missouri,29141,2
Missouri,29143,1
Missouri,29145,1
Missouri,29147,2
Missouri,29149,1
Missouri,29151,1
Missouri,29155,1
Missouri,29157,1
Missouri,29159,1
Missouri,29161,1
Missouri,29163,2
Missouri,29165,1
Missouri,29167,1
Missouri,29169,1
Missouri,29175,3
Missouri,29177,1
Missouri,29179,1
Missouri,29183,1
Missouri,29185,2
Missouri,29186,1
Missouri,29187,3
Missouri,29189,4
Missouri,29195,1
Missouri,29199,1
